Paris;75000
Marseille;13000
Lyon;69000
Toulouse;31000
Nice;06000
Nantes;44000
Montpellier;34000
Strasbourg;67000
Bordeaux;33000
Lille;59000
Rennes;35000
Reims;51100
Toulon;83000
Saint-Etienne;42000
Le Havre;76600
Grenoble;38000
Dijon;21000
Angers;49000
Nimes;30000
Villeurbanne;69100
Clermont-Ferrand;63000
Le Mans;72000
Aix-en-Provence;13100
Brest;29200
Tours;37000
Amiens;80000
Limoges;87000
Annecy;74000
Boulogne-Billancourt;92100
Perpignan;66000
Metz;57000
Besancon;25000
Orleans;45000
Saint-Denis;93200
Rouen;76000
Argenteuil;95100
Caen;14000
Mulhouse;68100
Nancy;54000
Saint-Paul;97460
Roubaix;59100
Tourcoing;59200
Nanterre;92000
Vitry-sur-Seine;94400
Creteil;94000
Avignon;84000
Poitiers;86000
Aubervilliers;93300
Asnieres-sur-Seine;92600
Colombes;92700
Aulnay-sous-Bois;93600
Versailles;78000
Courbevoie;92400
Cherbourg-en-Cotentin;50100
Rueil-Malmaison;92500
Pau;64000
Champigny-sur-Marne;94500
Saint-Maur-des-Fosses;94100
Beziers;34500
La Rochelle;17000
Saint-Pierre;97410
Cannes;06400
Saint-Nazaire;44600
Colmar;68000
Bourges;18000
Antibes;06600
Dunkerque;59140
Merignac;33700
Drancy;93700
Ajaccio;20000
Issy-les-Moulineaux;92130
Levallois-Perret;92300
Noisy-le-Grand;93160
Quimper;29000
Troyes;10000
Lorient;56100
Vannes;56000
Chambery;73000
Niort;79000
Pessac;33600
Venissieux;69200
Clichy;92110
Ivry-sur-Seine;94200
Cergy;95000
Montauban;82000
Blotzheim;68730
Trévenans;90400
Pibrac;31820
Morsbronn-les-Bains;67360
Saint-Cézaire-sur-Siagne;06530
Garchy;58150
Yvré-l'Évêque;72530
Plougasnou;29630
Bains-les-Bains;88240
Condat-sur-Vézère;24570
Le Grau-du-Roi;30240
Fontaine-de-Vaucluse;84800
Saint-Lary-Soulan;65170
Gourette;64440
Mortrée;61570
Uvernet-Fours;04400
Besse-et-Saint-Anastaise;63610
Sainte-Mère-Église;50480
Lamotte-Beuvron;41600
Ronce-les-Bains;17390
Villard-de-Lans;38250
Murbach;68530
Wissembourg;67160
Vittel;88800
Ussel;19200
Belcastel;12390
Gordes;84220
Yvoire;74140
Kaysersberg;68240
Locronan;29180
Eguisheim;68420
Rocamadour;46500
Monpazier;24540
Vezelay;89450
Saint-Guilhem-le-Désert;34150
Gerberoy;60380
Moustiers-Sainte-Marie;04360
Balazuc;07120
Oingt;69620
Pérouges;01800
Haguenau;67500
Soultz-Haut-Rhin;68360
Dannemarie;68210
Wissembourg;67160
Niederbronn-les-Bains;67110
Obernai;67210
Saverne;67700
Ensisheim;68190
Munster;68140
Thann;68800
Guebwiller;68500
Altkirch;68130
Ribeauvillé;68150
Sélestat;67600
Molsheim;67120
Erstein;67150
Bischwiller;67240
Brumath;67170
Wasselonne;67310
Ingwiller;67340
Drulingen;67320
Sarre-Union;67260
Lembach;67510
Wœrth;67360
Betschdorf;67660
Hatten;67690
Seltz;67470
Lauterbourg;67630
Beinheim;67930
Drusenheim;67410
Gambsheim;67760
Weyersheim;67720
Reichstett;67116
Vendenheim;67550
Mundolsheim;67450
Souffelweyersheim;67460
Schiltigheim;67300
Bischheim;67800
Lingolsheim;67380
Ostwald;67540
Illkirch-Graffenstaden;67400
Geispolsheim;67118
Fegersheim;67640
Eschau;67114
Plobsheim;67115
Oberhausbergen;67205
Mittelhausbergen;67206
Niederhausbergen;67207
Wolfisheim;67202
Eckbolsheim;67201
Holtzheim;67810
Entzheim;67960
Duppigheim;67120
Duttlenheim;67120
Blaesheim;67113
Huningue;68220
Sierentz;68510
Bartenheim;68870
Habsheim;68440
Rixheim;68170
Sausheim;68390
Kingersheim;68260
Wittenheim;68270
Illzach;68110
Brunstatt-Didenheim;68350
Lutterbach;68460
Pfastatt;68120
Richwiller;68120
Wittelsheim;68310
Staffelfelden;68850
Bollwiller;68540
Soultz-Haut-Rhin;68360
Raedersheim;68190
Ungersheim;68190
Merxheim;68500
Issenheim;68500
Soultzmatt;68570
Rouffach;68250
Pfaffenheim;68250
Gueberschwihr;68420
Hattstatt;68420
Vœgtlinshoffen;68420
Wintzenheim;68920
Turckheim;68230
Ingersheim;68040
Niedermorschwihr;68230
Katzenthal;68230
Ammerschwihr;68770
Kientzheim;68240
Sigolsheim;68240
Bennwihr;68630
Mittelwihr;68630
Hunawihr;68150
Bergheim;68750
Guémar;68970
Ostheim;68150
Illhaeusern;68970
Ribeauvillé;68150
Saint-Hippolyte;68590
Rodern;68590
Rorschwihr;68590
Thannenkirch;68590
Plougastel-Daoulas;29470
Landéda;29870
Plougonvelin;29217
Guipavas;29490
Plonéour-Lanvern;29720
Penmarch;29760
Pont-Aven;29930
Riec-sur-Bélon;29340
Moëlan-sur-Mer;29350
Plouha;22580
Paimpol;22500
Trébeurden;22560
Perros-Guirec;22700
Erquy;22430
Lamballe-Armor;22400
Binic-Étables-sur-Mer;22520
Ploubalay;22650
Carnac;56340
Locmariaquer;56740
Arzon;56640
Sarzeau;56370
Larmor-Plage;56260
Guidel;56520
Plouhinec;56680
Belz;56550
Questembert;56230
Muzillac;56190
Cancale;35260
Dol-de-Bretagne;35120
Combourg;35270
Liffré;35340
Mordelles;35310
Bain-de-Bretagne;35470
Guichen;35580
Janzé;35150
Aubagne;13400
Istres;13118
Martigues;13500
Salon-de-Provence;13300
Miramas;13140
Gardanne;13120
Les-Pennes-Mirabeau;13170
Allauch;13190
Port-de-Bouc;13110
Fos-sur-Mer;13270
Berre-l'Étang;13130
Bouc-Bel-Air;13320
Châteaurenard;13160
Tarascon;13150
Saint-Martin-de-Crau;13310
Châteauneuf-les-Martigues;13220
Septèmes-les-Vallons;13240
Plan-de-Cuques;13380
Saint-Rémy-de-Provence;13210
Auriol;13390
Gignac-la-Nerthe;13180
Sausset-les-Pins;13960
Saint-Victoret;13730
Lançon-Provence;13680
La-Bouilladisse;13720
Saint-Mitre-les-Remparts;13920
Venelles;13770
Éguilles;13510
Saint-Chamas;13250
Carry-le-Rouet;13620
Éguilles;13510
Cassis;13260
Roquefort-la-Bédoule;13830
Gémenos;13420
Velaux;13880
Ventabren;13122
La-Roque-d'Anthéron;13640
Cuges-les-Pins;13780
Cabriès;13480
Meyreuil;13590
Le-Puy-Sainte-Réparade;13610
Sénas;13560
Saint-Andiol;13670
Eyragues;13630
Barbentane;13570
Mallemort;13370
Jouques;13490
Les-Abymes;97139
Baie-Mahault;97122
Le-Gosier;97190
Sainte-Anne;97180
Capesterre-Belle-Eau;97130
Morne-à-l'Eau;97111
Pointe-à-Pitre;97110
Fort-de-France;97200
Le-Lamentin;97232
Le-Robert;97231
Schoelcher;97233
Ducos;97224
Saint-Joseph;97212
Case-Pilote;97222
Cayenne;97300
Saint-Laurent-du-Maroni;97320
Kourou;97310
Matoury;97351
Remire-Montjoly;97354
Mana;97360
Saint-Paul;97460
Le-Tampon;97430
Saint-André;97440
Saint-Benoît;97470
Sainte-Marie;97438
La-Possession;97419
Le-Port;97420
Saint-Leu;97436
Mamoudzou;97600
Koungou;97600
Dzaoudzi;97615
Dembeni;97660
Tsingoni;97680
Gustavia;97133
Marigot;97150
Nouméa;98800
Papeete;98714
Bastia;20200
Porto-Vecchio;20137
Borgo;20290
Corte;20250
Biguglia;20620
Calvi;20260
Furiani;20600
Lucciana;20290
Sartène;20100
Propriano;20110
Ile-Rousse;20220
Ville-di-Pietrabugno;20200
Penta-di-Casinca;20213
Bonifacio;20169
San-Martino-di-Lota;20200
Afa;20167
Alata;20167
Grosseto-Prugna;20128
Zonza;20124
Sari-Solenzara;20145
Saint-Florent;20217
Piana;20115
Ota;20150
Calacuccia;20224
Vico;20160
Cervione;20221
Venaco;20231
